Unnamed: 0,id,transcription,has_word,trans_file,filename,alignment_filename,word_start,word_end,split,duration
1865,1188-133604-0004,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE,True,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0004.flac,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0004.TextGrid,5.53,5.72,test-clean,10.65
1866,1188-133604-0005,IT IS THE HEAD OF A PARROT WITH A LITTLE FLOWER IN HIS BEAK FROM A PICTURE OF CARPACCIO'S ONE OF HIS SERIES OF THE LIFE OF SAINT GEORGE,True,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0005.flac,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0005.TextGrid,2.03,2.23,test-clean,8.56
2151,4446-2273-0032,HE STOOD A LITTLE BEHIND HER AND TRIED TO STEADY HIMSELF AS HE SAID IT'S SOFT AND MISTY SEE HOW WHITE THE STARS ARE,True,/mnt/data/LibriSpeech24K/test-clean/4446/2273/4446-2273.trans.txt,/mnt/data/LibriSpeech24K/test-clean/4446/2273/4446-2273-0032.flac,/mnt/data/LibriSpeech24K/test-clean/4446/2273/4446-2273-0032.TextGrid,0.78,1.0,test-clean,7.835
118,672-122797-0055,AND THEN HE TOLD ALL ABOUT HIS YOUTH AND THE LITTLE MICE HAD NEVER HEARD THE LIKE BEFORE AND THEY LISTENED AND SAID,True,/mnt/data/LibriSpeech24K/test-clean/672/122797/672-122797.trans.txt,/mnt/data/LibriSpeech24K/test-clean/672/122797/672-122797-0055.flac,/mnt/data/LibriSpeech24K/test-clean/672/122797/672-122797-0055.TextGrid,3.68,3.91,test-clean,8.23
1544,1320-122617-0028,MY PURSUITS ARE PEACEFUL AND MY TEMPER I HUMBLY TRUST IS GREATLY GIVEN TO MERCY AND LOVE RETURNED DAVID A LITTLE NETTLED AT SO DIRECT AN ATTACK ON HIS MANHOOD BUT THERE ARE NONE WHO CAN SAY THAT I HAVE EVER FORGOTTEN MY FAITH IN THE LORD EVEN IN THE GREATEST STRAITS,True,/mnt/data/LibriSpeech24K/test-clean/1320/122617/1320-122617.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1320/122617/1320-122617-0028.flac,/mnt/data/LibriSpeech24K/test-clean/1320/122617/1320-122617-0028.TextGrid,6.67,6.98,test-clean,15.995
1885,1188-133604-0024,NOTHING WILL BE MORE PRECIOUS TO YOU I THINK IN THE PRACTICAL STUDY OF ART THAN THE CONVICTION WHICH WILL FORCE ITSELF ON YOU MORE AND MORE EVERY HOUR OF THE WAY ALL THINGS ARE BOUND TOGETHER LITTLE AND GREAT IN SPIRIT AND IN MATTER,True,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0024.flac,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0024.TextGrid,11.87,12.32,test-clean,15.24
2042,5142-36377-0021,ENVY HATRED MALICE AND UNCHARITABLENESS ARE NEVER SO ESSENTIALLY DETESTABLE TO MY MIND AS WHEN THEY ARE ANIMATED BY A SENSE OF PROPRIETY AND WORK UNDER THE SURFACE BUT FOR MY INTEREST IN NAOMI AND MY OTHER INTEREST IN THE LITTLE LOVE LOOKS WHICH I NOW AND THEN SURPRISED PASSING BETWEEN HER AND AMBROSE I SHOULD NEVER HAVE SAT THROUGH THAT SUPPER,True,/mnt/data/LibriSpeech24K/test-clean/5142/36377/5142-36377.trans.txt,/mnt/data/LibriSpeech24K/test-clean/5142/36377/5142-36377-0021.flac,/mnt/data/LibriSpeech24K/test-clean/5142/36377/5142-36377-0021.TextGrid,12.46,12.74,test-clean,18.87
2122,4446-2273-0003,WHEN BARTLEY ARRIVED AT BEDFORD SQUARE ON SUNDAY EVENING MARIE THE PRETTY LITTLE FRENCH GIRL MET HIM AT THE DOOR AND CONDUCTED HIM UPSTAIRS,True,/mnt/data/LibriSpeech24K/test-clean/4446/2273/4446-2273.trans.txt,/mnt/data/LibriSpeech24K/test-clean/4446/2273/4446-2273-0003.flac,/mnt/data/LibriSpeech24K/test-clean/4446/2273/4446-2273-0003.TextGrid,4.25,4.48,test-clean,7.835
1868,1188-133604-0007,THE BROWN GROUND BENEATH IS LEFT FOR THE MOST PART ONE TOUCH OF BLACK IS PUT FOR THE HOLLOW TWO DELICATE LINES OF DARK GRAY DEFINE THE OUTER CURVE AND ONE LITTLE QUIVERING TOUCH OF WHITE DRAWS THE INNER EDGE OF THE MANDIBLE,True,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604.trans.txt,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0007.flac,/mnt/data/LibriSpeech24K/test-clean/1188/133604/1188-133604-0007.TextGrid,10.01,10.29,test-clean,14.24
328,2094-142345-0038,I CAN NO MORE HELP SPENDING MY LIFE IN TRYING TO DO WHAT I CAN FOR THE SOULS OF OTHERS THAN YOU COULD HELP RUNNING IF YOU HEARD LITTLE TOTTY CRYING AT THE OTHER END OF THE HOUSE THE VOICE WOULD GO TO YOUR HEART YOU WOULD THINK THE DEAR CHILD WAS IN TROUBLE OR IN DANGER AND YOU COULDN'T REST WITHOUT RUNNING TO HELP HER AND COMFORT HER,True,/mnt/data/LibriSpeech24K/test-clean/2094/142345/2094-142345.trans.txt,/mnt/data/LibriSpeech24K/test-clean/2094/142345/2094-142345-0038.flac,/mnt/data/LibriSpeech24K/test-clean/2094/142345/2094-142345-0038.TextGrid,7.99,8.22,test-clean,20.25
